fid,GRID_CODE,DATA_INCEN,CODI_FINAL,MUNICIPI,XMIN,XMAX,YMIN,YMAX,ANY,AREA
"544","2",25/06/09,"2009250056",Oliola,1.21466559598,1.22067568855,41.8717021488,41.8765,"2009",0.171250532010195
"545","2",06/08/00,"2000170131",Garriguella,3.07328754688,3.21332389286,42.2873801916,42.3949,"2000",58.4389316524434
"546","2",22/10/14,"2014170069",Roses,3.2193383604,3.22806257211,42.2371444429,42.2509,"2014",0.34348570887424
"547","2",19/07/12,"2012080313",SANT FELIU SASSERRA,1.99285321527,2.03733338974,41.930731548,41.9898,"2012",3.31188524727321
"548","2",26/07/90,B90040040,SANT QUIRZE DEL VALLÈS,2.04347471307,2.05127769461,41.5221220256,41.5284,"1990",0.283125000000124
"549","2",04/07/94,"894509",Casserres,1.67172321397,2.03602885499,41.9373549243,42.1153,"1994",229.190338087899
"550","2",08/08/91,T91008013,L'Aleixar,1.07962850404,1.11930718684,41.2019400572,41.2258,"1991",3.83126180685516
"551","2",27/07/1994,"4394172",l'Ametlla de Mar,0.81652651567,0.82565825302,40.9212435193,40.942,"1994",0.761402357745775
"552","2",01/03/00,"2000430111",Albiol i Alcover,1.10041923786,1.16741618315,41.2355135582,41.2625,"2000",6.20091904484747
"553","2",27/02/98,"1998430179",Aiguamúrcia,1.43518716856,1.44224911397,41.3454877516,41.3523,"1998",0.178125560660753
"554","2",24/06/03,"2003080117",Masquefa,1.78742394755,1.79886520873,41.4907059068,41.4948,"2003",0.245625756452393
"555","2",30/06/91,G91034012,Maçanet de la Selva,2.7658315706,2.77033240956,41.7459429175,41.7543,"1991",0.196875609541087
"556","2",05/08/86,"088600492",Martorelles,2.2355962606,2.25795966601,41.5308447255,41.5438,"1986",0.879377712615823
"557","2",12/01/09,"2009250096",Canejan,0.75724152243,0.7816314956,42.8274200703,42.8369,"2009",1.00687811111095
"558","2",27/06/89,B89007007,TALAMANCA,1.92787325946,1.93359094513,41.7265675042,41.7309,"1989",0.153750475355807
"559","2",22/02/11,"2011430016",Ulldecona,0.45773152342,0.47055536019,40.626219503,40.6332,"2011",0.232500722951788
"560","2",25/08/94,"4394211",La Bisbal del Penedès,1.48147564871,1.50401204285,41.2883645942,41.3034,"1994",1.29780399397809
"561","2",10/04/06,"2006430101",Vandellós i l'Hospitalet,0.83756466371,0.89076623622,40.946872517,40.9983,"2006",11.7469112490898
"562","2",23/08/94,"2594142",El Pont de Suert,0.81876873142,0.82514166743,42.3816220946,42.3861,"1994",0.15375047192373
"563","2",05/07/05,"2005080355",Castellbisbal,1.95532716324,1.97788197819,41.4737172294,41.498,"2005",2.05688134862468
"564","2",12/11/92,"924300106",El Perelló,0.69634739479,0.70594063798,40.9086849969,40.9148,"1992",0.315625969200887
"565","2",03/06/94,"894117",Vilassar de Dalt,2.34339724388,2.35120448178,41.5132644208,41.5171,"1994",0.132500413620432
"566","2",27/01/89,L89004001,EL PONT DE BAR,1.61560129202,1.61957848567,42.3917357705,42.3958,"1989",0.0825002542936845
"567","2",15/06/12,"2012430141",EL PINELL DE BRAI,0.4808556017,0.49702443637,41.0382729816,41.0529,"2012",1.39396061515678
"568","2",19/09/16,"2016080232",Barcelona,2.16161869972,2.16768340066,41.4444157014,41.4517,"2016",0.212366966739787
"569","2",23/08/94,"2594174",Vilanova de l'Aguda,1.23690728048,1.2774976272,41.9216613884,41.9641,"1994",5.29111654562286
"570","2",22/07/16,"2016430090",Els Pallaresos,1.25544131751,1.26073740198,41.1613330196,41.1653,"2016",0.112739047764235
"571","2",30/07/1991,T91029009,la Figuera,0.7175681746,0.74069726739,41.1991423059,41.2156,"1991",0.827103034911485
"572","2",15/03/98,"1998250035",Sarroca de Bellera,0.85605220016,0.86402617366,42.3757849409,42.3814,"1998",0.194375604511524
"573","2",22/02/17,"2017250004",El Pont de Suert,0.8016802885,0.80854958978,42.4332326719,42.4384,"2017",0.195614698432615
"574","2",01/08/00,"2000170116",Maçanet de la Selva,2.72150378197,2.72745822168,41.7433828779,41.7534,"2000",0.252350785552646
"575","2",18/08/00,"2000170165",Portbou,3.1553818909,3.16572197862,42.4297995876,42.4372,"2000",0.25833874198847
"576","2",16/12/00,"2000430021",Creixell,1.42054945563,1.42838860266,41.1793064255,41.186,"2000",0.193125602386428
"577","2",23/07/91,T91036016,Constantí,1.19792750333,1.20786909483,41.1330369403,41.1411,"1991",0.265000825144354
"578","2",22/07/91,T91030005,Miravet,0.53599070654,0.58679963692,41.0237602602,41.0547,"1991",6.31441966725334
"579","2",21/07/05,"2005080260",Martorell,1.91005634489,1.93300942591,41.4569305199,41.4659,"2005",0.326251015631521
"580","2",18/08/01,"2001170143",Porqueres,2.73675803584,2.74371082989,42.1285536283,42.1344,"2001",0.185000568261217
"581","2",19/07/86,"178600065",Llers,2.90107813954,2.93638951104,42.2992548304,42.3173,"1986",1.1385035076678
"582","2",29/06/94,"894185",Jorba,1.48528367383,1.5050479591,41.6226784577,41.6397,"1994",1.41660434355994
"583","2",14/06/14,"2014430093",El Perelló,0.68370030686,0.69593654797,40.8850192998,40.889,"2014",0.219189528253736
"584","2",22/02/99,"1999430041",El Montmell,1.5304089237,1.5431242706,41.3288094587,41.3372,"1999",0.180000563260632
"585","2",29/07/91,T91012004,Sant Jaume dels Domenys,1.53440677336,1.53891094259,41.315890438,41.3188,"1991",0.0825002546973041
"586","2",29/08/95,"1795187",Garrigoles,3.02615059869,3.03128953667,42.1149558172,42.1219,"1995",0.120000375116897
"587","2",29/02/96,"2596007",Montferrer i Castellbò,1.31559443458,1.32075309055,42.3559165065,42.3607,"1996",0.102500315742898
"588","2",03/07/94,"2594080",Camarasa,0.85296996608,0.87591340887,41.8724708695,41.8812,"1994",1.07100331864053
"589","2",03/07/09,"2009250058",Cabanabona,1.1999241099,1.21844904274,41.8251253397,41.8431,"2009",1.62016754489644
"590","2",22/08/05,"2005430185",La Pobla de Massaluca,0.36709809084,0.39201174608,41.217805742,41.2284,"2005",1.05789140796033
"591","2",20/08/91,L91023017,Camarasa,0.87644762367,0.88444224403,41.9275594143,41.9344,"1991",0.165000511373727
"592","2",01/05/08,"2008250086",Seròs,0.39391717007,0.40166352356,41.4435016057,41.447,"2008",0.123750384445255
