CODI_FINAL,DATA_INCEN,GRID_CODE,MUNICIPI,AREA,AREAKM2,XMIN,YMIN,XMAX,Y_MAX
2005430090,30/03/05,2,Riudecanyes,415784.878,0.416,0.957672,41.133613,0.969386,41.141281
1998250078,20/07/98,2,Massoteres,5751675.392,5.752,1.249348,41.808065,1.316501,41.858217
934300059,13/06/93,2,El Vendrell,3624978.626,3.625,1.469963,41.205317,1.501021,41.227165
L90025021,12/08/90,2,TREMP,228425.381,0.228,0.846234,42.248819,0.855706,42.254241
2005080308,19/06/05,2,Talamanca,7271799.738,7.272,1.917893,41.710381,1.956053,41.753371
G89010008,04/07/89,2,PALAMÓS,155086.306,0.155,3.114674,41.876917,3.121032,41.881574
B89017010,03/07/89,2,VILANOVA I LA GELTRÚ,234905.133,0.235,1.686836,41.246036,1.692134,41.257078
1794084,05/07/94,2,Llagostera,424877.841,0.425,2.862160,41.781860,2.871191,41.791857
2016170048,19/07/16,2,VilobÃ­ d'Onyar,184428.633,0.184,2.707394,41.864409,2.711662,41.873960
2016430096,05/08/16,2,La Pobla de MontornÃ¨s,5343897.590,5.344,1.391413,41.197786,1.429160,41.232331
4395185,27/08/95,2,Benifallet,48268759.550,48.269,0.564697,40.880784,0.680054,40.972206
2016250032,23/06/16,2,Vallbona de les Monges,1010746.129,1.011,1.116742,41.508539,1.137135,41.530502
2006170164,04/08/06,2,Terrades,2038585.023,2.039,2.834254,42.277792,2.854889,42.301866
2005080300,25/01/05,2,Sant Salvador de Guardiola,110996.922,0.111,1.776783,41.673693,1.784221,41.677351
2011170018,23/05/11,2,Sant Climent Sescebes,310000.179,0.310,2.956030,42.397122,2.966365,42.408602
894060,09/04/94,2,Sitges,1351357.026,1.351,1.861856,41.241310,1.897201,41.256390
G91020004,01/07/91,2,Madremanya,335114.196,0.335,2.973989,41.991744,2.978821,42.006831
1794126,15/07/94,2,Llagostera,1245762.591,1.246,2.920645,41.786502,2.938682,41.809208
2005080235,14/07/05,2,Sant Quirze de Safaja,347645.021,0.348,2.170448,41.724175,2.177141,41.734526
932500006,04/03/1993,2,La Vall de Boí,825360.557,0.825,0.841505,42.522571,0.862629,42.533271
894196,20/06/94,2,Barcelona,378385.310,0.378,2.147771,41.442163,2.159401,41.451209
2011250016,12/07/11,2,Balaguer,369292.750,0.369,0.789106,41.804233,0.804722,41.813978
894234,04/07/94,2,Sabadell,3713762.953,3.714,2.123510,41.563882,2.171011,41.582645
2012080308,02/03/12,2,TORRELLES DE FOIX,129420.047,0.129,1.605591,41.415495,1.609647,41.421181
4394163,17/07/94,2,Alcover,3793720.665,3.794,1.156407,41.295927,1.196528,41.316532
088600506,14/08/86,2,El Bruc,316923.992,0.317,1.735893,41.583877,1.745501,41.589512
2002250122,06/08/02,2,Almatret,284130.638,0.284,0.388273,41.343680,0.398071,41.348935
2002080139,21/07/02,2,El Bruc,234254.372,0.234,1.804932,41.584196,1.810618,41.594355
T0870048,16/08/87,2,La Febró,1087398.486,1.087,0.967279,41.260336,0.984684,41.282713
894233,04/07/94,2,Terrassa,3462975.538,3.463,2.039184,41.516513,2.082423,41.534921
2009250095,02/07/09,2,Oliola,1118606.153,1.119,1.124830,41.851580,1.146801,41.868776
178600065,19/07/86,2,Llers,1140850.896,1.141,2.901078,42.299255,2.936390,42.317347
894006,24/01/94,2,Teià,115271.742,0.115,2.325455,41.504168,2.329958,41.508460
2007430073,29/08/07,2,Riba-Roja d'Ebre,963498.926,0.963,0.438349,41.252020,0.459105,41.266795
1794049,10/06/94,2,El Port de la Selva,418981.214,0.419,3.204732,42.326184,3.215946,42.334526
G0880092,21/08/88,2,Cadaqués,5792587.861,5.793,3.224302,42.290862,3.270124,42.323309
894370,10/08/94,2,Mediona,4064064.416,4.064,1.616756,41.467153,1.661485,41.487335
4395080,30/05/95,2,Querol,812297.692,0.812,1.453537,41.437083,1.471106,41.447551
B89013002,18/07/89,2,BADALONA,1520963.235,1.521,2.226638,41.482384,2.248297,41.497456
B89040019,18/07/89,2,SANT QUIRZE DEL VALLÀS,164748.541,0.165,2.050899,41.533553,2.057521,41.539852
4394048,02/04/94,2,Albinyana,613762.227,0.614,1.464530,41.239224,1.479957,41.247650
2596060,26/07/96,2,Camarasa,3733446.201,3.733,0.888317,41.873788,0.917141,41.905354
2003250060,01/07/03,2,Ossó de Sió,13778974.090,13.779,1.157189,41.746997,1.285661,41.788410
894117,03/06/94,2,Vilassar de Dalt,132813.107,0.133,2.343397,41.513264,2.351204,41.517079
4394127,25/06/94,2,Prat de Comte,83878.344,0.084,0.428451,40.980636,0.434642,40.984368
2007250092,13/05/07,2,Almenar,110872.518,0.111,0.585668,41.801325,0.593006,41.807386
2009250099,17/07/09,2,Cervera,3454564.017,3.455,1.253163,41.693900,1.313106,41.710060
2000170131,06/08/00,2,Garriguella,58558308.160,58.558,3.073288,42.287380,3.213324,42.394882
B90011009,15/05/90,2,CASTELLDEFELS,121535.779,0.122,1.954435,41.279087,1.960498,41.285807
922500022,21/03/92,2,Soriguera,525158.087,0.525,1.195626,42.375681,1.210783,42.382269
2010080166,28/07/10,2,CastellBell i el Vilar,266198.421,0.266,1.873439,41.642476,1.881216,41.650838
T91009011,23/12/91,2,Tortosa,1982549.716,1.983,0.586012,40.812229,0.607643,40.835473
B90040004,26/03/90,2,ULLASTRELL,122149.085,0.122,1.960134,41.519586,1.966419,41.524098
2010080167,29/08/10,2,Olivella,643335.993,0.643,1.778111,41.299836,1.786060,41.315849
B89040010,15/07/89,2,CALDES DE MONTBUI,141566.768,0.142,2.143926,41.660829,2.149976,41.666212
2005430160,22/09/05,2,Pradell de la Teixeta,209708.100,0.210,0.879602,41.142374,0.888817,41.149383
1794372,10/08/94,2,Gualba,90695177.750,90.695,2.477955,41.717961,2.682838,41.863815
4395091,09/07/95,2,Tarragona,1455681.849,1.456,1.298886,41.140957,1.350113,41.153377
2005170093,15/07/05,2,Caldes de Malavella,704722.197,0.705,2.771001,41.840392,2.779121,41.858643
2005430122,26/05/05,2,Margalef,4350915.183,4.351,0.726931,41.296964,0.763883,41.335008
894546,02/07/94,2,La Pobla de Lillet,67631.461,0.068,2.023358,42.218042,2.027319,42.221199
2003250048,21/06/03,2,Les Avellanes i Santa Linya,959486.064,0.959,0.767412,41.888256,0.789793,41.906162
894216,30/06/94,2,Mura,226114.956,0.226,1.990637,41.708875,1.997629,41.716275
2016170060,06/08/16,2,"Saus, Camallera i Llampaies",988148.660,0.988,2.987458,42.105198,2.997920,42.130926
894398,22/08/94,2,Sant Llorenç Savall,936253.470,0.936,2.032151,41.681163,2.046973,41.693324
2012250156,16/01/12,2,LES,189552.819,0.190,0.677531,42.821234,0.684338,42.826445
2006430100,13/06/06,2,Alforja,288661.559,0.289,0.974964,41.222977,0.982077,41.230891
2006170151,07/08/06,2,Cabanelles,313159.180,0.313,2.831473,42.195807,2.841739,42.212480
B91007026,05/08/91,2,Manresa,197293.972,0.197,1.863246,41.700330,1.868807,41.710441
2001250054,01/08/01,2,La Floresta,107057.507,0.107,0.926390,41.498256,0.936054,41.502038
894550,04/07/94,2,Canyelles,11553258.450,11.553,1.708596,41.276563,1.777090,41.334861
178600064,19/07/86,2,La Jonquera,152536601.100,152.537,2.823352,42.303808,3.126175,42.466989
2597022,18/03/97,2,Les,166560.161,0.167,0.709409,42.822285,0.717468,42.828678
2003080252,06/08/03,2,Subirats,139062.209,0.139,1.836863,41.413360,1.840763,41.419216
T90030006,15/04/90,2,LA PALMA D'EBRE,989097.668,0.989,0.639051,41.232294,0.685140,41.250001
2015080225,26/07/15,2,ÒDENA,12658553.690,12.659,1.663207,41.620782,1.759115,41.660365
2006430101,10/04/06,2,Vandellós-Hospitalet de l'Infant,11769059.730,11.769,0.837565,40.946873,0.890766,40.998338
438602924,16/07/86,2,El Montmell,6690412.805,6.690,1.457115,41.300730,1.504533,41.331957
2013430116,19/09/13,2,Tivissa,1659136.576,1.659,0.698193,41.057543,0.738024,41.070834
4394150,07/07/94,2,Vandellós-Hospitalet de l'Infant,132752.737,0.133,0.882762,40.972103,0.889584,40.976658
B90040040,26/07/90,2,SANT QUIRZE DEL VALLÀS,283768.436,0.284,2.043475,41.522122,2.051278,41.528424
2003170133,13/08/03,2,Llagostera,230526.017,0.231,2.876404,41.825328,2.886323,41.836596
2010250090,15/03/10,2,Bausen,1215525.194,1.216,0.690750,42.835607,0.714778,42.846664
2012430142,24/08/12,2,AIGUAMÚRCIA,380373.352,0.380,1.485671,41.381165,1.494613,41.391658
T91036016,23/07/91,2,Constantí,265543.587,0.266,1.197928,41.133037,1.207869,41.141108
T89029001,17/02/89,2,ULLDEMOLINS,230400.237,0.230,0.874264,41.335865,0.882537,41.341414
2015430116,09/06/15,2,FALSET,244914.697,0.245,0.810260,41.174477,0.817088,41.180995
2011170020,13/08/11,2,Rabós,938156.300,0.938,3.028622,42.361999,3.038343,42.381586
2005430186,22/08/05,2,Riba-Roja d'Ebre,5758869.918,5.759,0.400718,41.213828,0.477283,41.238151
2003080273,10/08/03,2,Sant Llorenç Savall,31529387.720,31.529,2.005005,41.665515,2.071366,41.759760
894074,07/04/94,2,Subirats,1039828.411,1.040,1.811310,41.405194,1.828217,41.418243
2003080117,24/06/03,2,Masquefa,246164.513,0.246,1.787424,41.490706,1.798865,41.494755
1795187,29/08/95,2,Garrigoles,120258.531,0.120,3.026151,42.114956,3.031290,42.121937
932500042,22/07/93,2,Coll de Nargó,59470.393,0.059,1.230353,42.163840,1.233737,42.166779
2003170112,07/08/03,2,Maçanet de la Selva,734179.984,0.734,2.688157,41.781523,2.700789,41.793462
B90040029,12/07/90,2,MONTCADA I REIXAC,144713.056,0.145,2.195121,41.479721,2.203250,41.484652
1795082,09/05/95,2,Brunyola,122147.681,0.122,2.669183,41.898557,2.674014,41.904187
T91029009,30/07/1991,2,la Figuera,828495.474,0.828,0.717568,41.199142,0.740697,41.215654
2009250141,27/05/09,2,La Portella,282896.112,0.283,0.655143,41.726017,0.665917,41.739224
178600108,17/08/86,2,Palol de revardit,710288.060,0.710,2.777990,42.057825,2.812092,42.077246
2008250087,08/05/08,2,Almenar,535710.845,0.536,0.590713,41.779624,0.612703,41.799271
2001250037,26/06/01,2,Estaràs,593624.377,0.594,1.386733,41.720324,1.406636,41.732946
B91014014,31/07/91,2,Santa Maria de Merlès,71396.000,0.071,1.954917,41.948844,1.961556,41.951537
4396095,09/10/96,2,Pradell de la Teix,1031858.779,1.032,0.833431,41.125421,0.851300,41.139636
2011170016,11/05/11,2,Sant Climent Sescebes,210424.615,0.210,2.962108,42.397572,2.969098,42.405452
B90007020,20/08/90,2,NAVÀS,388273.010,0.388,1.729613,41.869644,1.742347,41.877659
2013250090,5/11/13,2,La Granja d'Escarp,138108.176,0.138,0.362177,41.419017,0.369516,41.423110
